name,rating,numberofbik,price,WatchthisMonth,Kosher,Address,asian restaurant,italian restaurant,gril restaurant,mediterranean restaurant,sea food,coffe,delivery,burger shop,online order,City,Street
המקסיקני,7.3,74,מחיר סביר,164,לא כשר,"עופר גרנד קניון, באר שבע",0,0,0,0,0,0,0,0,0,באר שבע,עופר גרנד קניון
Prades.Hanna.Eat,0,0,0,0,לא כשר,"הדקלים 68, פרדס חנה כרכור",0,0,0,0,0,1,0,0,0,פרדס חנה כרכור,הדקלים 68
גן המלך,7.2,90,מחיר זול,58,כשר,"דוד המלך 23, ירושלים (מלון המלך דוד ירושלים)",0,0,0,0,0,1,0,0,0,ירושלים (מלון המלך דוד ירושלים),דוד המלך 23
קפה אפרת,8.8,420,מחיר סביר,316,מושגח ללא תעודה,"ראשונים, כפר שמריהו",0,0,0,0,0,1,1,0,1,כפר שמריהו,ראשונים
מטעמי ניסים,8.7,34,ציון העסק 8.7,136,כשר,"שדרות יצחק בן צבי 77, קדימה צורן",0,0,0,0,0,0,0,0,0,קדימה צורן,שדרות יצחק בן צבי 77
קפה גרג,6.1,172,מחיר סביר,100,כשר,"קניון סינמול, חיפה",1,1,0,0,0,1,1,0,1,חיפה,קניון סינמול
עלמא,0,6,0,0,כשר,"יפו 30, ירושלים",0,0,1,0,0,0,1,0,1,ירושלים,יפו 30
חמים וטעים אוכל ביתי,0,9,0,0,כשר,"סחלב 102, לוד",0,0,1,0,0,0,1,0,0,לוד,סחלב 102
הקבב של אמא,8,1156,ציון העסק 8,262,כשר,קרית תעופה,0,0,1,0,0,0,0,0,1,קרית תעופה,
מרלין,0,1,0,0,כשר,"כיכר צה""ל 60, קרית שמונה",0,0,1,0,0,0,1,0,0,קרית שמונה,"כיכר צה""ל 60"
סינרס,8.9,336,מחיר סביר,945,לא כשר,"הרצל 28, ראשון לציון",0,0,1,0,0,0,1,1,1,ראשון לציון,הרצל 28
מסעדת עזיז,8.2,37,ציון העסק 8.2,0,לא כשר,"כיכר צפניה, אשקלון",0,0,1,0,0,0,0,0,0,אשקלון,כיכר צפניה
Gent Kitchen & Bar,8.7,1108,מחיר סביר,291,מושגח ללא תעודה,"יוסף ריבלין 5, ירושלים",0,0,1,0,0,0,0,0,0,ירושלים,יוסף ריבלין 5
uptown express kitchen,0,0,0,0,לא כשר,"הרכבת 4, פתח תקווה",0,0,1,0,0,0,0,0,0,פתח תקווה,הרכבת 4
בורגרס בר,0,8,מחיר סביר,0,לא כשר,"ההסתדרות 10, שדרות",0,0,1,0,0,0,1,1,1,שדרות,ההסתדרות 10
נועה לוי קציר,0,1,0,0,לא כשר,מצפה שלם,0,1,1,0,0,0,1,0,0,מצפה שלם,
Vivino,0,0,מחיר סביר,0,לא כשר,"בעלי המלאכה 3, נתיבות",0,1,0,0,0,0,1,0,1,נתיבות,בעלי המלאכה 3
חומוס נרי,8,66,מחיר זול,135,כשר,"הרב עובדיה יוסף, חדרה",0,0,0,0,0,0,1,0,1,חדרה,הרב עובדיה יוסף
לה בלה מיסו,8.7,101,ציון העסק 8.7,428,לא כשר,"אל וטן, כפר קאסם",0,1,0,0,1,1,1,0,1,כפר קאסם,אל וטן
האחים עותמאן,8.6,2056,מחיר סביר,1173,לא כשר,"הרצל 4, גדרה",0,0,1,0,0,0,0,0,0,גדרה,הרצל 4
בליקר בייקרי,7.7,1205,מחיר סביר,410,כשר,"המחקר 1, נתניה",0,1,0,0,0,1,0,0,0,נתניה,המחקר 1
בשר וכל השאר Maceo,9,521,מחיר סביר,778,כשר,"הנשיא 4, אשקלון",0,0,1,0,0,0,1,1,1,אשקלון,הנשיא 4
פלורנטינה,9,3043,מחיר סביר,1331,כשר,"אברבנאל 56, תל אביב יפו",0,1,0,1,1,1,0,0,1,תל אביב יפו,אברבנאל 56
מסעדת אל פנאן,8.9,145,ציון העסק 8.9,676,לא כשר,"שכונת הכפר, דאלית אל כרמל",0,0,1,1,0,0,1,0,0,דאלית אל כרמל,שכונת הכפר
ארקפה,7.8,495,מחיר סביר,144,כשר,"ויצמן 301, כפר סבא (מתחם G כפר סבא)",0,1,0,0,0,1,1,0,1,כפר סבא (מתחם G כפר סבא),ויצמן 301
שף גדסי,8.6,47,ציון העסק 8.6,409,כשר,"אגמון מרקט, צומת אגמון החולה",0,0,1,0,0,0,1,0,0,צומת אגמון החולה,אגמון מרקט
מיטב האוכל הדרוזי,0,0,0,0,לא כשר,דאלית אל כרמל,0,0,0,0,0,0,1,0,1,דאלית אל כרמל,
Casa di amici,7.3,114,מחיר סביר,748,לא כשר,"ירושלים 42, כפר סבא",0,1,0,0,0,1,1,0,1,כפר סבא,ירושלים 42
יאפצ'ק,0,0,0,0,כשר,"עזרא 28, בני ברק",0,0,1,0,0,0,1,0,0,בני ברק,עזרא 28
ג'אפן ג'אפן אקספרס,8.2,448,מחיר סביר,342,כשר,"ביג פאשן, בית שמש",1,0,1,0,0,0,1,0,1,בית שמש,ביג פאשן
גריל סטריט,8,80,מחיר סביר,169,לא כשר,"הרצל 99, רחובות",0,0,1,0,0,0,1,0,1,רחובות,הרצל 99
לינק קסטל,8.6,1259,מחיר סביר,877,לא כשר,"הפסגה, שורש",0,0,1,0,1,0,0,0,1,שורש,הפסגה
הגחנונים של אפקק,0,1,0,0,לא כשר,"ערבי נחל, תל אביב יפו",0,0,0,0,0,0,0,0,0,תל אביב יפו,ערבי נחל
Pankina,8.9,1805,מחיר סביר,2143,כשר,"י.ל גורדון 39, תל אביב יפו",0,1,0,0,0,0,1,0,1,תל אביב יפו,י.ל גורדון 39
קוקושקה KuKushKa,8.4,259,מחיר סביר,131,לא כשר,"עכו העתיקה, עכו",0,0,1,0,0,0,0,0,0,עכו,עכו העתיקה
סראיא אל אמיר,0,0,0,0,חלאל,טירה,0,0,1,1,0,0,1,0,0,טירה,
עראיס בורגר,7.3,140,מחיר זול,252,כשר,"הרצל 52, נתניה",0,0,1,1,0,0,1,1,1,נתניה,הרצל 52
בישולים אקספרס,8.6,1288,מחיר זול,163,כשר,"מרכז מסחרי פארק העוגן, פתח תקווה",0,0,1,0,0,0,1,0,1,פתח תקווה,מרכז מסחרי פארק העוגן
חלב עם הרוח,8.7,277,מחיר סביר,170,כשר,יודפת,0,0,0,1,0,0,0,0,0,יודפת,
הרצל 16,8.6,3852,מחיר סביר,1630,לא כשר,"הרצל 16, תל אביב יפו",0,0,0,0,0,0,1,0,1,תל אביב יפו,הרצל 16
מרי אנג'לה,0,3,0,0,כשר,"דרך הלורד, תל מונד",0,1,0,0,0,0,0,0,0,תל מונד,דרך הלורד
אלדין בשדרה,8.7,850,מחיר סביר,309,כשר,"מרטין בובר 1, אשדוד",0,0,0,0,1,0,0,0,1,אשדוד,מרטין בובר 1
קפה קפה,7.5,1234,מחיר סביר,0,כשר,"דרך בן גוריון 2, רמת גן (מגדל ב.ס.ר BSR 1)",0,1,0,0,0,1,1,0,0,רמת גן (מגדל ב.ס.ר BSR 1),דרך בן גוריון 2
אננייה,8.2,102,מחיר זול,353,כשר,"שפינוזה 7, אשקלון",0,0,0,0,0,0,1,0,0,אשקלון,שפינוזה 7
ויוינו,9.1,9936,מחיר סביר,1392,לא כשר,"כיכר אליזבט, חיפה",0,1,0,0,0,1,1,0,1,חיפה,כיכר אליזבט
טרבין,8.5,1043,מחיר זול,550,מושגח ללא תעודה,"בנימין שמוטקין 11, ראשון לציון",0,0,0,0,0,0,0,1,0,ראשון לציון,בנימין שמוטקין 11
מקור הטוניסאי,7.9,668,מחיר זול,56,כשר,"המלאכה 18, רעננה (בית סולל בונה)",0,0,0,0,0,0,1,0,1,רעננה (בית סולל בונה),המלאכה 18
בלאק בר בורגר,7.8,836,מחיר סביר,401,כשר,"עופר הקניון הגדול, פתח תקווה",0,0,1,0,0,0,1,1,1,פתח תקווה,עופר הקניון הגדול
קייטרינג סלמון,8.4,741,מחיר סביר,297,כשר,"דרך זאב ז'בוטינסקי 112, פתח תקווה",0,0,1,0,0,0,1,0,0,פתח תקווה,דרך זאב ז'בוטינסקי 112
ארקפה,8.2,340,מחיר סביר,133,כשר,"כינרת 5, בני ברק",0,1,0,0,0,1,0,0,0,בני ברק,כינרת 5
רוברטה וינצ'י,9.2,3708,מחיר סביר,2410,לא כשר,"אחוזה 43, פרדס חנה כרכור",0,1,0,0,0,0,1,0,1,פרדס חנה כרכור,אחוזה 43
שרולה מסעדת בשרים כשרה,8.6,846,מחיר סביר,580,כשר,"המלאכה 4, אריאל",0,0,1,0,0,0,1,0,0,אריאל,המלאכה 4
הקוסקוס של חן,7.6,444,מחיר זול,153,כשר,"הרצל 44, נתניה",0,0,0,0,0,0,1,0,1,נתניה,הרצל 44
יאמיז,8.4,1062,מחיר סביר,0,כשר,"שפרינצק 7, עפולה",0,1,0,0,0,1,0,0,0,עפולה,שפרינצק 7
מטילדה בר,8.7,579,מחיר זול,449,לא כשר,"הגשמה, אשדוד",0,0,1,0,0,0,1,0,0,אשדוד,הגשמה
איטליה בכיכר,0,1,סביר,0,כשר,"שדרות ירושלים 12, נתיבות",0,1,0,0,0,0,1,0,0,נתיבות,שדרות ירושלים 12
טאיפיי,7.9,1308,מחיר סביר,215,לא כשר,"יפה נוף, חיפה",1,0,0,0,0,0,1,0,1,חיפה,יפה נוף
דל מאר,0,25,0,0,לא כשר,"יפה נוף 99, חיפה",0,0,0,0,1,0,0,0,1,חיפה,יפה נוף 99
מלבן,0,102,מחיר זול,0,לא כשר,"כצנלסון 50, גבעתיים",0,0,0,0,0,1,1,0,1,גבעתיים,כצנלסון 50
וונג,0,82,0,0,לא כשר,"דרך מנחם בגין 150, תל אביב יפו",0,0,0,0,0,0,1,0,1,תל אביב יפו,דרך מנחם בגין 150
בורגר סאלון,8.7,2547,מחיר סביר,611,לא כשר,אילנות,0,0,1,0,0,0,1,1,0,אילנות,
ג'פניקה,7.9,562,מחיר סביר,623,לא כשר,"צבי תדמור 12, חולון",1,0,0,0,0,0,1,0,1,חולון,צבי תדמור 12
כיכר מיאמי,8.3,82,ציון העסק 8.3,117,כשר,"קניון לב כרמיאל, כרמיאל",0,0,0,0,1,0,0,0,0,כרמיאל,קניון לב כרמיאל
קייטרינג תדמית,8.7,18,ציון העסק 8.7,138,כשר,"שדרות יובל יניב, קרית שמונה",0,0,1,0,0,0,0,0,0,קרית שמונה,שדרות יובל יניב
שווארמה סאפי,0,7,0,0,לא כשר,בוקעתא,0,0,0,1,0,0,0,0,0,בוקעתא,
המקסיקנית,9,745,מחיר זול,1161,כשר,"שדרות אח""י אילת 59, חיפה",0,0,1,0,0,0,1,0,1,חיפה,"שדרות אח""י אילת 59"
פטיסרי,9.3,1997,מחיר סביר,1554,כשר,"אחד העם 5, רחובות",0,0,0,0,0,1,0,0,0,רחובות,אחד העם 5
שרי צ'רי,0,0,0,0,לא כשר,"השקדים 4, קרית ביאליק",0,0,0,0,0,0,1,0,0,קרית ביאליק,השקדים 4
אבא אבן,0,1,0,0,לא כשר,"הכלנית 173, זכריה",0,0,1,0,0,0,0,0,0,זכריה,הכלנית 173
הפינה הלבנה,8.6,942,מחיר זול,952,כשר,"הרצל 7, יהוד מונוסון",0,0,0,1,0,0,1,0,0,יהוד מונוסון,הרצל 7
ALBERTO MEAT,0,6,0,0,לא כשר,פתחיה,0,0,1,0,0,0,0,0,0,פתחיה,
מסעדת אבו שקארה,7.9,102,ציון העסק 7.9,88,לא כשר,"גרינבוים 18, חיפה",0,0,0,0,0,0,0,0,0,חיפה,גרינבוים 18
המטבח של פיבי,8.4,1290,מחיר סביר,214,כשר,"כצנלסון 1, גבעתיים",0,0,0,0,0,0,1,0,1,גבעתיים,כצנלסון 1
קפה לנדוור,8.1,1617,מחיר סביר,528,לא כשר,"המעלית 2, קדימה צורן",0,0,0,0,0,1,1,0,1,קדימה צורן,המעלית 2
ארקפה,7.7,86,מחיר סביר,79,לא כשר,"קניון עזריאלי ראשונים, ראשון לציון",0,0,0,0,0,1,0,0,0,ראשון לציון,קניון עזריאלי ראשונים
רויאל בורגר,0,0,0,0,לא כשר,"אורט 1, נתניה",0,0,1,0,0,0,0,1,0,נתניה,אורט 1
מרקש,8.3,561,ציון העסק 8.3,152,כשר,"יד חרוצים 5, ירושלים",0,0,1,0,0,0,1,0,1,ירושלים,יד חרוצים 5
הלאפה של רפי,7.6,34,ציון העסק 7.6,358,כשר,"ירושלים 88, צפת",0,0,1,0,0,0,1,0,0,צפת,ירושלים 88
מסעדת אלף לילה ולילה,0,0,0,0,לא כשר,עראבה,0,0,1,0,1,0,0,0,0,עראבה,
בוקה,8.4,46,ציון העסק 8.4,427,לא כשר,"המייסדים 62, אבן יהודה (מרכז קרסו)",0,0,0,0,0,0,1,0,1,אבן יהודה (מרכז קרסו),המייסדים 62
פיצה פורטו,8.3,1419,מחיר סביר,525,לא כשר,"סירקין 11 א, גבעתיים",0,1,0,0,0,0,1,0,1,גבעתיים,סירקין 11 א
Trio,8.7,866,מחיר סביר,262,לא כשר,"הרצל 90, רמת גן",0,0,0,0,0,1,1,0,1,רמת גן,הרצל 90
האנגר בית קפה ומסעדה,0,2,0,0,לא כשר,יאנוח ג'ת,0,0,1,0,0,0,0,0,0,יאנוח ג'ת,
המטבח הדרוזי,7.8,94,ציון העסק 7.8,171,לא כשר,ג'וליס,0,0,1,0,0,0,0,0,0,ג'וליס,
רפאלו,9,7022,מחיר סביר,913,לא כשר,"דרך משה פלימן 8, חיפה (מרכז קסטרא)",0,1,0,0,0,0,1,0,1,חיפה (מרכז קסטרא),דרך משה פלימן 8
שוואטינא,8.8,2320,מחיר סביר,501,חלאל,"דרך סטלה מאריס 100, חיפה",0,0,0,0,0,0,1,0,1,חיפה,דרך סטלה מאריס 100
פטוש,8.5,7625,מחיר סביר,548,לא כשר,"שדרות בן גוריון 38, חיפה",0,0,0,1,0,0,1,0,1,חיפה,שדרות בן גוריון 38
קפה גרג,0,0,מחיר סביר,0,לא כשר,"We Center, באקה אל ע'רביה",0,0,0,0,0,1,1,0,0,באקה אל ע'רביה,We Center
מירו בגט,8.1,10,ציון העסק 8.1,219,לא כשר,"אוגדה 4, מעלה אדומים",0,0,0,1,0,0,0,0,0,מעלה אדומים,אוגדה 4
ביגה,9,1462,מחיר סביר,1138,כשר,"קניון עזריאלי ראשונים, ראשון לציון",0,1,0,0,0,1,1,0,1,ראשון לציון,קניון עזריאלי ראשונים
Galipette Food Truck,0,30,0,0,דוכן • פודטראק,"תיאטרון הקרון, ירושלים",0,0,0,0,0,0,0,0,0,ירושלים,תיאטרון הקרון
ארוגולה שף,8,48,מחיר סביר,70,כשר,"השיקמה 5, אזור",0,0,1,0,0,0,1,0,1,אזור,השיקמה 5
נייניש בר,7.9,257,מחיר סביר,1021,כשר,"ברקת 9, פתח תקווה",0,0,1,0,0,0,1,0,1,פתח תקווה,ברקת 9
שווארמה השף,7.5,1299,מחיר סביר,205,כשר,"המלאכה 4, ראש העין",0,0,1,0,0,0,1,0,1,ראש העין,המלאכה 4
מסעדת מוברשם,0,1,0,0,לא כשר,"דרך הארבעה, עכו",0,0,0,1,1,0,0,0,0,עכו,דרך הארבעה
פונדק ורדה,8.5,868,מחיר זול,279,כשר,"צומת ראם מסמיה, אזור רחובות",0,0,0,0,0,0,0,0,0,אזור רחובות,צומת ראם מסמיה
גוטה בריא ומהיר,0,3733,מחיר סביר,0,כשר,"יגאל אלון 94, תל אביב יפו",0,0,0,0,0,0,1,0,1,תל אביב יפו,יגאל אלון 94
אצל ענת,8.5,73,ציון העסק 8.5,32,כשר,חבר,0,0,1,0,0,0,0,0,0,חבר,
קפה ג'ו,8.5,1119,מחיר סביר,203,כשר,"קניון סביונים, יהוד מונוסון",0,0,0,0,0,1,0,0,0,יהוד מונוסון,קניון סביונים
לולה מרטין,8.3,772,מחיר סביר,656,לא כשר,"שדרות אבא אבן 10, הרצליה",0,0,0,0,0,0,1,0,1,הרצליה,שדרות אבא אבן 10
חממת הסחלבים,8.9,767,מחיר סביר,578,לא כשר,מעלה החמישה,0,0,0,0,0,1,1,0,0,מעלה החמישה,
צ'פאטי,0,0,0,0,מושגח ללא תעודה,"העוגן 1, טירת כרמל",0,0,0,0,0,0,0,0,0,טירת כרמל,העוגן 1
קפאו,8.6,760,מחיר סביר,687,כשר,"קניון שער העיר, בית שמש",1,0,0,0,0,0,1,0,1,בית שמש,קניון שער העיר
טאבולה ראסה',8.9,421,מחיר זול,153,מושגח ללא תעודה,"מתחם יוסף, קרית שמונה",0,0,0,0,0,0,1,0,0,קרית שמונה,מתחם יוסף
לחם בשר,7.6,127,ציון העסק 7.6,748,כשר,"משה בקר 13, ראשון לציון",0,0,1,0,0,0,0,0,1,ראשון לציון,משה בקר 13
אבו גוש,7.3,2588,מחיר סביר,251,לא כשר,"כביש השלום 65, אבו גוש",0,0,1,0,0,0,0,0,0,אבו גוש,כביש השלום 65
פושטק,8.8,498,מחיר סביר,254,כשר,"הרצל 5, אשקלון",0,1,0,0,1,0,1,0,0,אשקלון,הרצל 5
אגאדיר,8.4,4566,מחיר סביר,1012,לא כשר,"עופר בילו סנטר אאוטלט, קרית עקרון",0,0,1,0,0,0,1,1,1,קרית עקרון,עופר בילו סנטר אאוטלט
קומל טורטיה בר,8.3,2139,מחיר זול,975,כשר,"הרב שלום שבזי 30, ראש העין",0,0,1,0,0,0,1,0,1,ראש העין,הרב שלום שבזי 30
צחי בשרים,7.4,84,מחיר סביר,517,כשר,"הרצל 82, בת ים",0,0,1,0,0,0,1,0,1,בת ים,הרצל 82
קפה לנדוור,8.1,2087,מחיר סביר,183,לא כשר,"הסוללים 7, תל אביב יפו",0,0,0,0,0,1,1,0,1,תל אביב יפו,הסוללים 7
הולי בייגל,8.4,448,מחיר סביר,142,כשר,"אחוזה 158, רעננה",0,1,0,0,0,0,1,0,0,רעננה,אחוזה 158
קופי בין,7.7,1480,מחיר סביר,61,כשר,"יפו 34, ירושלים",0,1,0,0,0,1,0,0,0,ירושלים,יפו 34
באנאפה בבית,8.5,102,ציון העסק 8.5,48,כשר,"גבעת הלבונה 23, מודיעין מכבים רעות",0,1,0,0,0,1,0,0,0,מודיעין מכבים רעות,גבעת הלבונה 23
יאמי יאמי,6.4,7,ציון העסק 6.4,53,לא כשר,"קניון עזריאלי ראשונים, ראשון לציון",1,0,0,0,0,0,0,0,0,ראשון לציון,קניון עזריאלי ראשונים
Antico,0,1,0,0,לא כשר,ערערה,0,1,0,0,0,0,0,0,0,ערערה,
דארנא למתנא,0,0,0,0,לא כשר,ערערה,0,0,0,0,0,0,0,0,0,ערערה,
שלה,8.4,1649,מחיר סביר,289,כשר,"יששכר 14, קרית מוצקין",0,1,0,0,0,1,0,0,0,קרית מוצקין,יששכר 14
השלום סובחי,8.7,843,מחיר זול,433,לא כשר,"הרצוג 6, לוד",0,0,0,0,0,0,0,0,0,לוד,הרצוג 6
באבאגים,8.5,280,ציון העסק 8.5,372,לא כשר,"עמק דותן 66, מודיעין מכבים רעות (מרכז מסחרי מרל""ז)",0,0,1,0,0,0,1,0,0,"מודיעין מכבים רעות (מרכז מסחרי מרל""ז)",עמק דותן 66
קפה קפה,7.9,128,מחיר סביר,88,כשר,"בית הסטודנט, חיפה",0,0,0,0,0,1,0,0,0,חיפה,בית הסטודנט
Bulls burger,8.5,638,מחיר סביר,145,כשר,"המרגנית 1, נשר",0,0,1,0,0,0,1,1,1,נשר,המרגנית 1
אסתריקה,8.9,501,מחיר סביר,991,כשר,"אזור תעשייה דרומי, קרית שמונה",0,1,1,0,0,1,1,0,0,קרית שמונה,אזור תעשייה דרומי
קפה ברנר,8.1,622,מחיר סביר,451,לא כשר,"ברנר 6, רעננה",0,0,0,0,0,1,1,0,1,רעננה,ברנר 6
קיקו מסעדת בשרים,0,1,0,0,כשר,"דניאל ינובסקי, ירושלים",0,0,1,0,0,0,1,0,0,ירושלים,דניאל ינובסקי
פיצה אש,8.3,499,מחיר זול,472,כשר,"דרך הנחשונים 31, אריאל",0,1,0,0,0,0,1,0,1,אריאל,דרך הנחשונים 31
סטיישן מרקט,8.5,554,מחיר זול,105,כשר,"בר כוכבא 21, בני ברק",0,0,1,0,0,0,0,0,0,בני ברק,בר כוכבא 21
דליקטבע 100 בריאות,8.1,4619,ציון העסק 8.1,1,כשר,"דרך אבא הלל 2, רמת גן (מגדל משה אביב (שער העיר))",0,0,1,0,0,0,0,0,0,רמת גן (מגדל משה אביב (שער העיר)),דרך אבא הלל 2
פסטצ'ינו,7.9,215,מחיר סביר,338,כשר,"המסילה 22, נשר",0,1,0,0,0,0,1,0,1,נשר,המסילה 22
אלפרדו,8.4,7702,מחיר סביר,1153,כשר,"פארק תעשייה עופר, פתח תקווה",0,1,0,0,0,0,1,0,1,פתח תקווה,פארק תעשייה עופר
נונה,8.3,2867,מחיר סביר,1223,לא כשר,"אבן גבירול 44, תל אביב יפו",0,1,0,0,0,1,1,0,1,תל אביב יפו,אבן גבירול 44
TANOSHI KAMI,0,0,0,0,מושגח ללא תעודה • משלוחים בלבד,באר שבע,1,1,0,0,0,0,1,0,0,באר שבע,
איטליקו זוהר,8.5,253,מחיר זול,402,כשר,"העצמאות 5, גן יבנה",0,1,0,0,0,1,1,0,1,גן יבנה,העצמאות 5
קפה גבע,7.9,247,מחיר יקר,405,לא כשר,"דרך בן גוריון 259, רמת גן",0,1,0,0,0,0,1,0,1,רמת גן,דרך בן גוריון 259
פסקדו,9.1,1899,מחיר סביר,1923,כשר,"מרטין בובר 1, אשדוד",0,0,0,0,1,0,0,0,1,אשדוד,מרטין בובר 1
הדיינר של ווילסון,9.1,437,מחיר סביר,1189,פודטראק,"זמורה, לכיש",0,0,0,0,0,0,0,0,0,לכיש,זמורה
פטוצ'ינה,0,77,0,0,כשר,"קרן היסוד 1, פרדס חנה כרכור",0,1,0,0,0,0,1,0,1,פרדס חנה כרכור,קרן היסוד 1
לוטוס,0,0,0,0,לא כשר,כפר מנדא,0,0,0,0,0,0,0,0,0,כפר מנדא,
הר מירון,8.6,758,מחיר סביר,532,לא כשר,ג'יש,0,0,0,0,0,0,1,0,0,ג'יש,
אנג'ליקה,8.8,1434,מחיר יקר,262,כשר,"ג'ורג' וושינגטון 4, ירושלים",0,0,1,0,0,0,0,0,1,ירושלים,ג'ורג' וושינגטון 4
אנהמיה מטבח ביתי מקומי,8.5,64,מחיר סביר,111,מושגח ללא תעודה,"חלמונית 6, ערד",0,0,0,0,0,0,0,0,0,ערד,חלמונית 6
Mjdala,8.9,1236,מחיר סביר,315,לא כשר,"פז, מג'ד אל כרום",0,0,0,0,0,0,1,0,0,מג'ד אל כרום,פז
ג'ירף נודל בר,8.4,5893,מחיר סביר,927,לא כשר,"קניון דרורים, בני דרור",1,0,0,0,0,0,1,0,1,בני דרור,קניון דרורים
פאפאגאיו,8.6,2724,מחיר סביר,585,כשר,"יד חרוצים 3, ירושלים",0,0,1,0,0,0,0,0,1,ירושלים,יד חרוצים 3
עתיקא,0,9,0,0,כשר,"שמעון בר יוחאי 55, צפת",0,0,1,0,0,0,1,0,0,צפת,שמעון בר יוחאי 55
נונו,8.9,1296,מחיר סביר,1867,לא כשר,"אריק איינשטיין 3, הרצליה",0,1,0,0,0,0,1,0,1,הרצליה,אריק איינשטיין 3
סושי B,8.2,31,ציון העסק 8.2,303,משלוחים בלבד,"שדרות נשיאי ישראל 9, כרמיאל",1,0,0,0,0,0,1,0,1,כרמיאל,שדרות נשיאי ישראל 9
פרש קיטשן,7.8,2471,מחיר סביר,290,לא כשר,"דוד אלעזר, חיפה",0,1,0,0,0,1,1,0,1,חיפה,דוד אלעזר
ריבר,7.7,3535,מחיר סביר,519,כשר,"הרוקמים 26, חולון",1,0,0,0,0,0,1,0,1,חולון,הרוקמים 26
פוקי ואן,0,90,מחיר סביר,0,לא כשר,"אקליפטוס 3, רמת ישי",1,0,0,0,0,0,1,0,1,רמת ישי,אקליפטוס 3
הביס האיטלקי,0,8,0,0,מושגח ללא תעודה • משלוחים בלבד,"החיטה, אורנית",0,1,0,0,0,0,1,0,0,אורנית,החיטה
ביסטרו מצדה,7.9,2958,מחיר סביר,913,לא כשר,"הירקון 83, תל אביב יפו (מקסים)",0,0,0,0,0,1,0,0,0,תל אביב יפו (מקסים),הירקון 83
אצה סושי בר,0,2,מחיר סביר,0,כשר,"בן גוריון 1, מעלות תרשיחא",1,0,0,0,0,0,1,0,1,מעלות תרשיחא,בן גוריון 1
קפה ללוש,8.8,1860,מחיר סביר,1529,לא כשר,"משה לרר 1, נס ציונה",0,1,1,0,1,1,1,0,1,נס ציונה,משה לרר 1
Omakase sushi & mi casa,0,1,0,0,לא כשר,שדה עוזיהו,1,0,0,0,0,0,0,0,0,שדה עוזיהו,
בורגרס בר,8.3,1100,מחיר סביר,226,לא כשר,"האומן 14, ירושלים",0,0,1,0,0,0,1,1,1,ירושלים,האומן 14
מסעדת האחים,0,0,0,0,חלאל,ערערה,0,0,1,1,0,0,0,0,0,ערערה,
שאטו יחיעם,8.4,125,ציון העסק 8.4,407,לא כשר,יחיעם,0,0,0,0,0,0,0,0,1,יחיעם,
מסעדה לבנונית,7.2,454,מחיר סביר,133,לא כשר,שניר,0,0,0,0,0,0,0,0,0,שניר,
פלאפל בלגי,8.1,633,מחיר סביר,215,לא כשר,"רוטשילד 119, ראשון לציון",0,0,0,0,0,0,0,0,0,ראשון לציון,רוטשילד 119
איוטאיה,8.6,1041,מחיר סביר,619,לא כשר,"מבוא קדם, הוד השרון",1,0,0,0,0,0,1,0,0,הוד השרון,מבוא קדם
קבב אמונה,8.5,2230,מחיר סביר,422,כשר,"קק""ל 58, באר שבע",0,0,1,1,0,0,1,0,0,באר שבע,"קק""ל 58"
בזיליקה,8.9,293,ציון העסק 8.9,1043,כשר,"שדרות דוד בן גוריון 13, אשקלון",0,1,0,0,0,0,1,0,0,אשקלון,שדרות דוד בן גוריון 13
Kisu קיסו,9,13400,מחיר יקר,2648,לא כשר,"דרך רפאל איתן 1, קרית אונו",1,0,0,0,0,0,1,0,1,קרית אונו,דרך רפאל איתן 1
המבורג,8.6,6352,מחיר סביר,1022,לא כשר,"המדע 1, רחובות",0,0,0,0,0,0,1,1,1,רחובות,המדע 1
המרקיה,8.6,1402,מחיר זול,115,לא כשר,"כורש 4, ירושלים",0,0,0,0,0,1,0,0,0,ירושלים,כורש 4
בסטורי Bastory,9.2,95,ציון העסק 9.2,5564,לא כשר,"חיים יחיל 18, באר שבע",0,0,0,0,0,0,0,0,1,באר שבע,חיים יחיל 18
קזה מיה,8.7,1009,מחיר סביר,380,לא כשר,"הרצל 10, נתניה",0,1,0,0,0,0,0,0,0,נתניה,הרצל 10
בנג'יז טוסט שופ,8.2,201,מחיר זול,245,כשר,"שדרות בנימין 1, נתניה",0,0,1,0,0,0,1,0,1,נתניה,שדרות בנימין 1
מסעדת גיא בשרים,8.7,448,מחיר סביר,576,כשר,"המלאכה 12, אור יהודה",0,0,1,0,0,0,1,0,0,אור יהודה,המלאכה 12
עזרא ובניו,9.1,2550,מחיר זול,5889,לא כשר,"דוד סחרוב 18, ראשון לציון",0,0,1,0,0,0,1,0,0,ראשון לציון,דוד סחרוב 18
אל ג'יי,7.9,72,מחיר סביר,301,כשר,"משכית 22, הרצליה",0,1,0,0,0,1,1,0,1,הרצליה,משכית 22
פפה לאון,8.4,598,ציון העסק 8.4,226,לא כשר,"אוסקר שינדלר, באר שבע",0,0,1,0,0,0,0,0,0,באר שבע,אוסקר שינדלר
Flooka rest,9.1,593,מחיר סביר,331,לא כשר,"סלאח א דין 14, עכו",0,0,0,0,1,0,0,0,0,עכו,סלאח א דין 14
אורה,0,0,0,0,לא כשר,אורה,0,0,0,0,0,1,0,0,0,אורה,
